DOI_link,discipline,number_of_citations,citations_yr,days_published_before_26.03.2020,days_since_01.01.2000,open_access_choice,journal,publication_year,date_of_publication,period_of_publication,corresponding_authors,topic_similarity,author_familiarity,countries_of_corresponding_authors_list,country_of_corresponding_authors_category,continent_of_corresponding_authors,data_type,data_availability_initial,data_availability_final,data_deposition_declared_list,data_deposition_declared_selection,data_archive_list,data_availability_from_corresponding_author,time_data_obtained,corresponding_author_requests_and_concerns,reason_for_decline,data_complexity
https://doi.org/10.1126/science.aav9750,Biomaterials_and_biotechnology,58,88.94957983,328,7062,no_open_access,Science,2019,03.05.2019,2010-2019,2,partial,no,USA,USA,N_America,image,full,n.a.,supplement,supplement,,,,,,high
https://doi.org/10.1126/science.aav9051,Biomaterials_and_biotechnology,29,72.00680272,237,7153,no_open_access,Science,2019,02.08.2019,2010-2019,2,partial,no,USA,USA,N_America,image,full,n.a.,supplement,supplement,,,,,,high
https://doi.org/10.1126/science.aaw8237,Biomaterials_and_biotechnology,7,13.51851852,279,7111,no_open_access,Science,2019,21.06.2019,2010-2019,1,no,no,USA,USA,N_America,dataset,full,n.a.,supplement,supplement,,,,,,high
https://doi.org/10.1126/science.aav7897,Biomaterials_and_biotechnology,8,13.03571429,314,7076,no_open_access,Science,2019,17.05.2019,2010-2019,1,no,no,USA,USA,N_America,dataset,full,n.a.,supplement,supplement,,,,,,high
https://doi.org/10.1126/science.aav7102,Biomaterials_and_biotechnology,24,27.80952381,405,6985,open_access,Science,2019,15.02.2019,2010-2019,1,no,no,"Switzerland,USA",multi,multi,image,partial,n.a.,supplement,supplement,,,,,,high
https://doi.org/10.1126/science.aaw6718,Biomaterials_and_biotechnology,6,13.03571429,258,7132,no_open_access,Science,2019,12.07.2019,2010-2019,1,no,no,USA,USA,N_America,dataset,full,n.a.,supplement,supplement,,,,,,high
https://doi.org/10.1126/science.aaw5122,Biomaterials_and_biotechnology,12,34.76190476,216,7174,no_open_access,Science,2019,23.08.2019,2010-2019,1,partial,no,USA,USA,N_America,dataset,full,n.a.,supplement,supplement,,,,,,medium
https://doi.org/10.1126/science.aaw2502,Biomaterials_and_biotechnology,8,17.38095238,258,7132,no_open_access,Science,2019,12.07.2019,2010-2019,1,partial,no,USA,USA,N_America,dataset,partial,n.a.,supplement,supplement,,,,,,medium
https://doi.org/10.1126/science.aaw2403,Biomaterials_and_biotechnology,10,21.72619048,258,7132,no_open_access,Science,2019,12.07.2019,2010-2019,1,no,no,"USA,China",multi,multi,dataset,full,n.a.,supplement,supplement,,,,,,low
https://doi.org/10.1126/science.aau7114,Biomaterials_and_biotechnology,45,55.86734694,384,7006,no_open_access,Science,2019,08.03.2019,2010-2019,1,no,no,USA,USA,N_America,image,full,n.a.,supplement,supplement,,,,,,high
https://doi.org/10.1126/science.aau6232,Biomaterials_and_biotechnology,7,15.86956522,251,7139,no_open_access,Science,2019,19/07/2019,2010-2019,2,no,no,USA,USA,N_America,dataset,full,n.a.,supplement,supplement,,,,,,high
https://doi.org/10.1126/science.aau2277,Biomaterials_and_biotechnology,34,38.54037267,412,6978,open_access,Science,2019,08.02.2019,2010-2019,2,overlap,no,"USA,Denmark,Sweden",multi,multi,dataset,full,n.a.,supplement,supplement,,,,,,high
